Erreferentz,CUSEC,Municipio,total_women
8594095,2006907027,Donostia/San Sebastián,0.8
8594099,2006907027,Donostia/San Sebastián,0.8
8594100,2006907027,Donostia/San Sebastián,0.8
8796114,2006907023,Donostia/San Sebastián,0.5
8796136,2006907023,Donostia/San Sebastián,0.5
8296097,2006903007,Donostia/San Sebastián,0.3
8796227,2006907023,Donostia/San Sebastián,0.5
8796236,2006907023,Donostia/San Sebastián,0.5
8796224,2006907023,Donostia/San Sebastián,0.5
8597282,2006907003,Donostia/San Sebastián,0.6
8597132,2006907010,Donostia/San Sebastián,0.5
8795013,2006907026,Donostia/San Sebastián,0.3
8596221,2006907008,Donostia/San Sebastián,0.3
7991266,2006906012,Donostia/San Sebastián,0.6
7991268,2006906012,Donostia/San Sebastián,0.6
8394135,2006906027,Donostia/San Sebastián,0.5
8397729,2006904011,Donostia/San Sebastián,0.4
7989090,2006906012,Donostia/San Sebastián,0.6
7991269,2006906012,Donostia/San Sebastián,0.6
7991270,2006906012,Donostia/San Sebastián,0.6
8397369,2006904002,Donostia/San Sebastián,0.4
8398006,2006905007,Donostia/San Sebastián,0.3
8093048,2006906013,Donostia/San Sebastián,0.5
8294057,2006906016,Donostia/San Sebastián,0.8
8397416,2006905003,Donostia/San Sebastián,0.4
8294025,2006906016,Donostia/San Sebastián,0.8
8294137,2006906016,Donostia/San Sebastián,0.8
8294134,2006906016,Donostia/San Sebastián,0.8
8397307,2006905004,Donostia/San Sebastián,0.4
8497324,2006905014,Donostia/San Sebastián,0.6
8397120,2006904006,Donostia/San Sebastián,0.3
8397166,2006904006,Donostia/San Sebastián,0.3
8397088,2006904005,Donostia/San Sebastián,0.3
8397708,2006905007,Donostia/San Sebastián,0.3
8397089,2006904005,Donostia/San Sebastián,0.3
8397137,2006904005,Donostia/San Sebastián,0.3
8395196,2006904013,Donostia/San Sebastián,0.7
8394047,2006906027,Donostia/San Sebastián,0.5
8394053,2006906016,Donostia/San Sebastián,0.8
8395179,2006903019,Donostia/San Sebastián,0.8
8596171,2006907030,Donostia/San Sebastián,0.5
7891057,2006906012,Donostia/San Sebastián,0.6
8397596,2006905007,Donostia/San Sebastián,0.3
8092045,2006906013,Donostia/San Sebastián,0.5
8397604,2006905013,Donostia/San Sebastián,0.5
8092049,2006906013,Donostia/San Sebastián,0.5
8397589,2006905013,Donostia/San Sebastián,0.5
8397585,2006905013,Donostia/San Sebastián,0.5
8397536,2006904007,Donostia/San Sebastián,0.7
8397560,2006904007,Donostia/San Sebastián,0.7
8397395,2006905013,Donostia/San Sebastián,0.5
8397509,2006904019,Donostia/San Sebastián,0.3
8397532,2006904019,Donostia/San Sebastián,0.3
8397188,2006905007,Donostia/San Sebastián,0.3
8596158,2006907031,Donostia/San Sebastián,0.7
8397527,2006904019,Donostia/San Sebastián,0.3
8396129,2006903031,Donostia/San Sebastián,0.7
8396120,2006903031,Donostia/San Sebastián,0.7
8398011,2006905014,Donostia/San Sebastián,0.6
8398001,2006905014,Donostia/San Sebastián,0.6
8398007,2006905014,Donostia/San Sebastián,0.6
8398016,2006905014,Donostia/San Sebastián,0.6
8392005,2006906009,Donostia/San Sebastián,0.3
8394133,2006906027,Donostia/San Sebastián,0.5
8396242,2006904018,Donostia/San Sebastián,0.5
8396227,2006904018,Donostia/San Sebastián,0.5
8395075,2006903020,Donostia/San Sebastián,0.8
8397474,2006905008,Donostia/San Sebastián,0.7
8397433,2006904007,Donostia/San Sebastián,0.7
8496024,2006904008,Donostia/San Sebastián,0.7
8496066,2006904008,Donostia/San Sebastián,0.7
8396337,2006903021,Donostia/San Sebastián,0.7
8397459,2006904007,Donostia/San Sebastián,0.7
8396392,2006904011,Donostia/San Sebastián,0.4
8396430,2006904011,Donostia/San Sebastián,0.4
8396429,2006904011,Donostia/San Sebastián,0.4
8396428,2006904011,Donostia/San Sebastián,0.4
8396427,2006904011,Donostia/San Sebastián,0.4
8394095,2006906027,Donostia/San Sebastián,0.5
8397545,2006904011,Donostia/San Sebastián,0.4
8394098,2006906027,Donostia/San Sebastián,0.5
8396114,2006904011,Donostia/San Sebastián,0.4
8394099,2006906027,Donostia/San Sebastián,0.5
8396424,2006904011,Donostia/San Sebastián,0.4
8396244,2006904011,Donostia/San Sebastián,0.4
8397544,2006904007,Donostia/San Sebastián,0.7
8394093,2006906027,Donostia/San Sebastián,0.5
8496046,2006904018,Donostia/San Sebastián,0.5
8496058,2006904018,Donostia/San Sebastián,0.5
8496013,2006904009,Donostia/San Sebastián,0.4
8796220,2006907023,Donostia/San Sebastián,0.5
8397694,2006904007,Donostia/San Sebastián,0.7
8497026,2006905014,Donostia/San Sebastián,0.6
8397671,2006904007,Donostia/San Sebastián,0.7
8397660,2006904007,Donostia/San Sebastián,0.7
8494017,2006906009,Donostia/San Sebastián,0.3
8494036,2006903020,Donostia/San Sebastián,0.8
8795003,2006907023,Donostia/San Sebastián,0.5
8795002,2006907023,Donostia/San Sebastián,0.5
8397471,2006905013,Donostia/San Sebastián,0.5
8497289,2006905014,Donostia/San Sebastián,0.6
8796211,2006907023,Donostia/San Sebastián,0.5
8497288,2006905014,Donostia/San Sebastián,0.6
8796201,2006907023,Donostia/San Sebastián,0.5
8495077,2006907026,Donostia/San Sebastián,0.3
8497294,2006905014,Donostia/San Sebastián,0.6
8497296,2006905014,Donostia/San Sebastián,0.6
8497283,2006905014,Donostia/San Sebastián,0.6
8497270,2006905014,Donostia/San Sebastián,0.6
8496176,2006907007,Donostia/San Sebastián,0.6
8497265,2006905014,Donostia/San Sebastián,0.6
8496179,2006907007,Donostia/San Sebastián,0.6
8496038,2006904014,Donostia/San Sebastián,0.5
8496041,2006904014,Donostia/San Sebastián,0.5
8397021,2006904019,Donostia/San Sebastián,0.3
8497188,2006907004,Donostia/San Sebastián,0.3
8696114,2006907001,Donostia/San Sebastián,0.7
8095169,2006906025,Donostia/San Sebastián,0.9
8195272,2006906025,Donostia/San Sebastián,0.9
8497274,2006905012,Donostia/San Sebastián,0.8
8797335,2006907020,Donostia/San Sebastián,0.8
8797329,2006907020,Donostia/San Sebastián,0.8
8797334,2006907020,Donostia/San Sebastián,0.8
8797332,2006907020,Donostia/San Sebastián,0.8
8797324,2006907020,Donostia/San Sebastián,0.8
8495044,2006907026,Donostia/San Sebastián,0.3
8797310,2006907020,Donostia/San Sebastián,0.8
8496153,2006907033,Donostia/San Sebastián,0.7
8496164,2006907033,Donostia/San Sebastián,0.7
8496172,2006907033,Donostia/San Sebastián,0.7
8496163,2006907033,Donostia/San Sebastián,0.7
8497202,2006905014,Donostia/San Sebastián,0.6
8496155,2006907033,Donostia/San Sebastián,0.7
8498002,2006905014,Donostia/San Sebastián,0.6
8496166,2006907033,Donostia/San Sebastián,0.7
8497204,2006905014,Donostia/San Sebastián,0.6
8496167,2006907033,Donostia/San Sebastián,0.7
8496168,2006907033,Donostia/San Sebastián,0.7
8498008,2006905014,Donostia/San Sebastián,0.6
8498005,2006905014,Donostia/San Sebastián,0.6
8498006,2006905014,Donostia/San Sebastián,0.6
8696129,2006907021,Donostia/San Sebastián,0.2
8696128,2006907021,Donostia/San Sebastián,0.2
8398013,2006905014,Donostia/San Sebastián,0.6
8398014,2006905014,Donostia/San Sebastián,0.6
8397001,2006905013,Donostia/San Sebastián,0.5
8596020,2006907006,Donostia/San Sebastián,0.5
8597091,2006907006,Donostia/San Sebastián,0.5
8597093,2006907006,Donostia/San Sebastián,0.5
8696126,2006907024,Donostia/San Sebastián,0.6
8594061,2006907027,Donostia/San Sebastián,0.8
8696270,2006907017,Donostia/San Sebastián,0.6
8194122,2006906025,Donostia/San Sebastián,0.9
8496204,2006904011,Donostia/San Sebastián,0.4
8094101,2006906013,Donostia/San Sebastián,0.5
8196026,2006906001,Donostia/San Sebastián,0.4
8293048,2006906027,Donostia/San Sebastián,0.5
8294140,2006906027,Donostia/San Sebastián,0.5
8094062,2006906023,Donostia/San Sebastián,0.5
8797276,2006907023,Donostia/San Sebastián,0.5
8094022,2006906030,Donostia/San Sebastián,0.6
8094028,2006906023,Donostia/San Sebastián,0.5
8094032,2006906023,Donostia/San Sebastián,0.5
8094009,2006906023,Donostia/San Sebastián,0.5
8797318,2006907023,Donostia/San Sebastián,0.5
8094010,2006906023,Donostia/San Sebastián,0.5
8990006,2006903020,Donostia/San Sebastián,0.8
8990005,2006903020,Donostia/San Sebastián,0.8
8094018,2006906013,Donostia/San Sebastián,0.5
8094066,2006906013,Donostia/San Sebastián,0.5
8094046,2006906013,Donostia/San Sebastián,0.5
8497336,2006904008,Donostia/San Sebastián,0.7
8497348,2006904008,Donostia/San Sebastián,0.7
8094016,2006906013,Donostia/San Sebastián,0.5
8094035,2006906013,Donostia/San Sebastián,0.5
8094064,2006906013,Donostia/San Sebastián,0.5
8093020,2006906013,Donostia/San Sebastián,0.5
8395230,2006903020,Donostia/San Sebastián,0.8
8092026,2006906013,Donostia/San Sebastián,0.5
8093010,2006906013,Donostia/San Sebastián,0.5
8092035,2006906013,Donostia/San Sebastián,0.5
7995088,2006906014,Donostia/San Sebastián,0.8
8093005,2006906013,Donostia/San Sebastián,0.5
7995085,2006906030,Donostia/San Sebastián,0.6
8796264,2006907023,Donostia/San Sebastián,0.5
8093021,2006906013,Donostia/San Sebastián,0.5
8093015,2006906013,Donostia/San Sebastián,0.5
8497347,2006904008,Donostia/San Sebastián,0.7
7996034,2006906015,Donostia/San Sebastián,0.4
8093008,2006906013,Donostia/San Sebastián,0.5
7996035,2006906015,Donostia/San Sebastián,0.4
8496205,2006904008,Donostia/San Sebastián,0.7
7996045,2006906015,Donostia/San Sebastián,0.4
8696162,2006907016,Donostia/San Sebastián,0.4
8094073,2006906030,Donostia/San Sebastián,0.6
8696163,2006907016,Donostia/San Sebastián,0.4
7994009,2006906030,Donostia/San Sebastián,0.6
8796296,2006907023,Donostia/San Sebastián,0.5
8797269,2006907020,Donostia/San Sebastián,0.8
8797272,2006907020,Donostia/San Sebastián,0.8
8796289,2006907023,Donostia/San Sebastián,0.5
8797325,2006907020,Donostia/San Sebastián,0.8
8696138,2006907025,Donostia/San Sebastián,0.3
8696137,2006907025,Donostia/San Sebastián,0.3
8696136,2006907025,Donostia/San Sebastián,0.3
8796299,2006907023,Donostia/San Sebastián,0.5
8696134,2006907022,Donostia/San Sebastián,0.4
8696144,2006907022,Donostia/San Sebastián,0.4
8896382,2006907023,Donostia/San Sebastián,0.5
8095075,2006906023,Donostia/San Sebastián,0.5
8795018,2006907026,Donostia/San Sebastián,0.3
8795019,2006907026,Donostia/San Sebastián,0.3
8795020,2006907026,Donostia/San Sebastián,0.3
8796162,2006907023,Donostia/San Sebastián,0.5
8796147,2006907023,Donostia/San Sebastián,0.5
8796274,2006907023,Donostia/San Sebastián,0.5
8093017,2006906013,Donostia/San Sebastián,0.5
8193027,2006906012,Donostia/San Sebastián,0.6
8094044,2006906013,Donostia/San Sebastián,0.5
8095085,2006906010,Donostia/San Sebastián,0.5
8195171,2006906025,Donostia/San Sebastián,0.9
8195162,2006906010,Donostia/San Sebastián,0.5
8796283,2006907023,Donostia/San Sebastián,0.5
8195133,2006906010,Donostia/San Sebastián,0.5
8797300,2006907020,Donostia/San Sebastián,0.8
8797289,2006907020,Donostia/San Sebastián,0.8
8196007,2006906002,Donostia/San Sebastián,0.5
8797293,2006907020,Donostia/San Sebastián,0.8
8195140,2006906003,Donostia/San Sebastián,0.5
8196246,2006906001,Donostia/San Sebastián,0.4
8196128,2006906001,Donostia/San Sebastián,0.4
8196220,2006906002,Donostia/San Sebastián,0.5
7995025,2006906015,Donostia/San Sebastián,0.4
8092034,2006906013,Donostia/San Sebastián,0.5
8193009,2006906013,Donostia/San Sebastián,0.5
8296659,2006902007,Donostia/San Sebastián,0.5
8296645,2006902007,Donostia/San Sebastián,0.5
8193030,2006906013,Donostia/San Sebastián,0.5
8296655,2006902007,Donostia/San Sebastián,0.5
7991006,2006906012,Donostia/San Sebastián,0.6
8194097,2006906025,Donostia/San Sebastián,0.9
8092021,2006906013,Donostia/San Sebastián,0.5
8194056,2006906027,Donostia/San Sebastián,0.5
8297077,2006901002,Donostia/San Sebastián,0.3
8193052,2006906012,Donostia/San Sebastián,0.6
8193050,2006906012,Donostia/San Sebastián,0.6
8195232,2006906017,Donostia/San Sebastián,0.4
8195200,2006906017,Donostia/San Sebastián,0.4
8297101,2006901003,Donostia/San Sebastián,0.5
8295054,2006906019,Donostia/San Sebastián,0.6
8295155,2006906019,Donostia/San Sebastián,0.6
8296705,2006903005,Donostia/San Sebastián,0.4
8294117,2006906016,Donostia/San Sebastián,0.8
8294028,2006906016,Donostia/San Sebastián,0.8
8597019,2006907003,Donostia/San Sebastián,0.6
8597134,2006905014,Donostia/San Sebastián,0.6
8497301,2006905014,Donostia/San Sebastián,0.6
8696269,2006907025,Donostia/San Sebastián,0.3
8696281,2006907022,Donostia/San Sebastián,0.4
8297455,2006902002,Donostia/San Sebastián,0.6
8597247,2006907003,Donostia/San Sebastián,0.6
8597211,2006907003,Donostia/San Sebastián,0.6
8597210,2006907003,Donostia/San Sebastián,0.6
8597199,2006907003,Donostia/San Sebastián,0.6
8496214,2006904014,Donostia/San Sebastián,0.5
8297253,2006902004,Donostia/San Sebastián,0.5
8095155,2006906004,Donostia/San Sebastián,0.7
8297265,2006902002,Donostia/San Sebastián,0.6
8494101,2006903020,Donostia/San Sebastián,0.8
7891035,2006906012,Donostia/San Sebastián,0.6
7891032,2006906012,Donostia/San Sebastián,0.6
8492093,2006906009,Donostia/San Sebastián,0.3
8394108,2006903020,Donostia/San Sebastián,0.8
8394109,2006903020,Donostia/San Sebastián,0.8
8394110,2006903020,Donostia/San Sebastián,0.8
8394111,2006903020,Donostia/San Sebastián,0.8
8394083,2006903020,Donostia/San Sebastián,0.8
8394104,2006903020,Donostia/San Sebastián,0.8
8494118,2006906009,Donostia/San Sebastián,0.3
8598001,2006907003,Donostia/San Sebastián,0.6
8593100,2006907027,Donostia/San Sebastián,0.8
8594023,2006907027,Donostia/San Sebastián,0.8
8594057,2006907027,Donostia/San Sebastián,0.8
8393023,2006906027,Donostia/San Sebastián,0.5
8393046,2006906027,Donostia/San Sebastián,0.5
7891049,2006906012,Donostia/San Sebastián,0.6
7891048,2006906012,Donostia/San Sebastián,0.6
8596045,2006907031,Donostia/San Sebastián,0.7
8597239,2006907010,Donostia/San Sebastián,0.5
8697544,2006907015,Donostia/San Sebastián,0.7
7891063,2006906012,Donostia/San Sebastián,0.6
8697549,2006907014,Donostia/San Sebastián,0.6
7891041,2006906012,Donostia/San Sebastián,0.6
8496209,2006907033,Donostia/San Sebastián,0.7
8697518,2006907014,Donostia/San Sebastián,0.6
8697519,2006907014,Donostia/San Sebastián,0.6
8596039,2006907031,Donostia/San Sebastián,0.7
8596054,2006907031,Donostia/San Sebastián,0.7
8696217,2006907001,Donostia/San Sebastián,0.7
8696212,2006907024,Donostia/San Sebastián,0.6
8696211,2006907024,Donostia/San Sebastián,0.6
8696246,2006907024,Donostia/San Sebastián,0.6
8597273,2006907012,Donostia/San Sebastián,0.3
8697420,2006907013,Donostia/San Sebastián,0.4
8597277,2006907012,Donostia/San Sebastián,0.3
8596126,2006907005,Donostia/San Sebastián,0.5
8597259,2006907012,Donostia/San Sebastián,0.3
8697503,2006907014,Donostia/San Sebastián,0.6
8697504,2006907014,Donostia/San Sebastián,0.6
8697505,2006907014,Donostia/San Sebastián,0.6
8697506,2006907014,Donostia/San Sebastián,0.6
8596006,2006907028,Donostia/San Sebastián,0.4
8696181,2006907016,Donostia/San Sebastián,0.4
8596005,2006907034,Donostia/San Sebastián,0.4
8596047,2006907034,Donostia/San Sebastián,0.4
8596060,2006907016,Donostia/San Sebastián,0.4
8696171,2006907016,Donostia/San Sebastián,0.4
8696170,2006907017,Donostia/San Sebastián,0.6
8696167,2006907017,Donostia/San Sebastián,0.6
8696176,2006907017,Donostia/San Sebastián,0.6
8596169,2006907006,Donostia/San Sebastián,0.5
8696199,2006907017,Donostia/San Sebastián,0.6
8696186,2006907017,Donostia/San Sebastián,0.6
8696307,2006907017,Donostia/San Sebastián,0.6
8596090,2006907026,Donostia/San Sebastián,0.3
8596094,2006907031,Donostia/San Sebastián,0.7
8696295,2006907016,Donostia/San Sebastián,0.4
8596103,2006907028,Donostia/San Sebastián,0.4
8596097,2006907028,Donostia/San Sebastián,0.4
8596070,2006907006,Donostia/San Sebastián,0.5
8596071,2006907006,Donostia/San Sebastián,0.5
8497310,2006907004,Donostia/San Sebastián,0.3
8697501,2006907018,Donostia/San Sebastián,0.9
8596105,2006907006,Donostia/San Sebastián,0.5
8596133,2006907028,Donostia/San Sebastián,0.4
8596134,2006907028,Donostia/San Sebastián,0.4
8596201,2006907028,Donostia/San Sebastián,0.4
8596203,2006907028,Donostia/San Sebastián,0.4
8596196,2006907028,Donostia/San Sebastián,0.4
8596204,2006907028,Donostia/San Sebastián,0.4
8597017,2006907009,Donostia/San Sebastián,0.3
8597012,2006907009,Donostia/San Sebastián,0.3
8597011,2006907009,Donostia/San Sebastián,0.3
8597066,2006907009,Donostia/San Sebastián,0.3
8497319,2006907003,Donostia/San Sebastián,0.6
8596027,2006907028,Donostia/San Sebastián,0.4
8596012,2006907028,Donostia/San Sebastián,0.4
8597137,2006907003,Donostia/San Sebastián,0.6
8597124,2006907003,Donostia/San Sebastián,0.6
8596019,2006907006,Donostia/San Sebastián,0.5
8596164,2006907006,Donostia/San Sebastián,0.5
8597044,2006907010,Donostia/San Sebastián,0.5
8597046,2006907010,Donostia/San Sebastián,0.5
8597056,2006907010,Donostia/San Sebastián,0.5
8596024,2006907008,Donostia/San Sebastián,0.3
8597055,2006907010,Donostia/San Sebastián,0.5
8597113,2006907010,Donostia/San Sebastián,0.5
8696051,2006907019,Donostia/San Sebastián,0.4
8696049,2006907024,Donostia/San Sebastián,0.6
8696048,2006907025,Donostia/San Sebastián,0.3
8696047,2006907025,Donostia/San Sebastián,0.3
8696046,2006907025,Donostia/San Sebastián,0.3
8696045,2006907025,Donostia/San Sebastián,0.3
8696044,2006907025,Donostia/San Sebastián,0.3
8696043,2006907022,Donostia/San Sebastián,0.4
8696071,2006907022,Donostia/San Sebastián,0.4
8596053,2006907026,Donostia/San Sebastián,0.3
8697466,2006907020,Donostia/San Sebastián,0.8
8696073,2006907021,Donostia/San Sebastián,0.2
8696060,2006907021,Donostia/San Sebastián,0.2
8695010,2006907026,Donostia/San Sebastián,0.3
8697438,2006907021,Donostia/San Sebastián,0.2
8696077,2006907002,Donostia/San Sebastián,0.6
8696076,2006907002,Donostia/San Sebastián,0.6
8696062,2006907001,Donostia/San Sebastián,0.7
8696072,2006907001,Donostia/San Sebastián,0.7
8696082,2006907001,Donostia/San Sebastián,0.7
8295142,2006906008,Donostia/San Sebastián,0.7
8696018,2006907001,Donostia/San Sebastián,0.7
8696017,2006907001,Donostia/San Sebastián,0.7
8295150,2006906008,Donostia/San Sebastián,0.7
8696015,2006907001,Donostia/San Sebastián,0.7
8696010,2006907001,Donostia/San Sebastián,0.7
8696020,2006907001,Donostia/San Sebastián,0.7
8696008,2006907001,Donostia/San Sebastián,0.7
8696007,2006907001,Donostia/San Sebastián,0.7
8696003,2006907001,Donostia/San Sebastián,0.7
8696002,2006907001,Donostia/San Sebastián,0.7
8696011,2006907002,Donostia/San Sebastián,0.6
8697586,2006907018,Donostia/San Sebastián,0.9
8092061,2006906013,Donostia/San Sebastián,0.5
8095173,2006906030,Donostia/San Sebastián,0.6
8797349,2006907020,Donostia/San Sebastián,0.8
8696021,2006907002,Donostia/San Sebastián,0.6
8696031,2006907002,Donostia/San Sebastián,0.6
8696027,2006907025,Donostia/San Sebastián,0.3
8696026,2006907025,Donostia/San Sebastián,0.3
8696024,2006907025,Donostia/San Sebastián,0.3
8696023,2006907019,Donostia/San Sebastián,0.4
8696022,2006907019,Donostia/San Sebastián,0.4
8696091,2006907019,Donostia/San Sebastián,0.4
8696146,2006907019,Donostia/San Sebastián,0.4
7896006,2006906015,Donostia/San Sebastián,0.4
8696081,2006907019,Donostia/San Sebastián,0.4
8696142,2006907019,Donostia/San Sebastián,0.4
8696141,2006907019,Donostia/San Sebastián,0.4
7895039,2006906015,Donostia/San Sebastián,0.4
8696140,2006907019,Donostia/San Sebastián,0.4
7895024,2006906015,Donostia/San Sebastián,0.4
7795013,2006906015,Donostia/San Sebastián,0.4
8195306,2006906018,Donostia/San Sebastián,0.7
8696316,2006907001,Donostia/San Sebastián,0.7
7891019,2006906012,Donostia/San Sebastián,0.6
8495102,2006904014,Donostia/San Sebastián,0.5
8194189,2006906025,Donostia/San Sebastián,0.9
8095189,2006906020,Donostia/San Sebastián,0.5
7891024,2006906012,Donostia/San Sebastián,0.6
8696254,2006907017,Donostia/San Sebastián,0.6
8696250,2006907019,Donostia/San Sebastián,0.4
8696280,2006907019,Donostia/San Sebastián,0.4
8696259,2006907019,Donostia/San Sebastián,0.4
8696287,2006907019,Donostia/San Sebastián,0.4
8696286,2006907019,Donostia/San Sebastián,0.4
8696285,2006907019,Donostia/San Sebastián,0.4
8696284,2006907019,Donostia/San Sebastián,0.4
7891028,2006906012,Donostia/San Sebastián,0.6
8696283,2006907019,Donostia/San Sebastián,0.4
8397714,2006905012,Donostia/San Sebastián,0.8
8697409,2006907020,Donostia/San Sebastián,0.8
8697410,2006907020,Donostia/San Sebastián,0.8
8697426,2006907020,Donostia/San Sebastián,0.8
8496195,2006904008,Donostia/San Sebastián,0.7
8697416,2006907020,Donostia/San Sebastián,0.8
8594152,2006907027,Donostia/San Sebastián,0.8
8697422,2006907020,Donostia/San Sebastián,0.8
8594134,2006907027,Donostia/San Sebastián,0.8
8697424,2006907020,Donostia/San Sebastián,0.8
7790011,2006906012,Donostia/San Sebastián,0.6
8697425,2006907021,Donostia/San Sebastián,0.2
8697396,2006907021,Donostia/San Sebastián,0.2
8697394,2006907021,Donostia/San Sebastián,0.2
8697415,2006907021,Donostia/San Sebastián,0.2
8697387,2006907021,Donostia/San Sebastián,0.2
8696289,2006907021,Donostia/San Sebastián,0.2
7995026,2006906014,Donostia/San Sebastián,0.8
7995004,2006906014,Donostia/San Sebastián,0.8
7895014,2006906015,Donostia/San Sebastián,0.4
7895017,2006906015,Donostia/San Sebastián,0.4
7895015,2006906015,Donostia/San Sebastián,0.4
7996015,2006906015,Donostia/San Sebastián,0.4
8696153,2006907017,Donostia/San Sebastián,0.6
7996019,2006906015,Donostia/San Sebastián,0.4
7896055,2006906015,Donostia/San Sebastián,0.4
7895060,2006906015,Donostia/San Sebastián,0.4
7896012,2006906015,Donostia/San Sebastián,0.4
7996002,2006906015,Donostia/San Sebastián,0.4
8596009,2006907026,Donostia/San Sebastián,0.3
8596042,2006907026,Donostia/San Sebastián,0.3
7895053,2006906015,Donostia/San Sebastián,0.4
7996010,2006906015,Donostia/San Sebastián,0.4
7896063,2006906015,Donostia/San Sebastián,0.4
7896010,2006906015,Donostia/San Sebastián,0.4
8192031,2006906012,Donostia/San Sebastián,0.6
7896056,2006906015,Donostia/San Sebastián,0.4
7896007,2006906015,Donostia/San Sebastián,0.4
8196271,2006906018,Donostia/San Sebastián,0.7
8494127,2006906009,Donostia/San Sebastián,0.3
8494119,2006907027,Donostia/San Sebastián,0.8
7895007,2006906015,Donostia/San Sebastián,0.4
7895003,2006906015,Donostia/San Sebastián,0.4
8297088,2006901007,Donostia/San Sebastián,0.3
8394055,2006906009,Donostia/San Sebastián,0.3
8295063,2006903012,Donostia/San Sebastián,0.6
7895041,2006906015,Donostia/San Sebastián,0.4
7895027,2006906015,Donostia/San Sebastián,0.4
8697155,2006907015,Donostia/San Sebastián,0.7
7896022,2006906015,Donostia/San Sebastián,0.4
7896021,2006906015,Donostia/San Sebastián,0.4
7896008,2006906015,Donostia/San Sebastián,0.4
7896028,2006906015,Donostia/San Sebastián,0.4
7995061,2006906014,Donostia/San Sebastián,0.8
7896027,2006906015,Donostia/San Sebastián,0.4
7896045,2006906015,Donostia/San Sebastián,0.4
7896032,2006906015,Donostia/San Sebastián,0.4
7796001,2006906015,Donostia/San Sebastián,0.4
8297457,2006901005,Donostia/San Sebastián,0.4
7795022,2006906015,Donostia/San Sebastián,0.4
8497327,2006905014,Donostia/San Sebastián,0.6
7795029,2006906015,Donostia/San Sebastián,0.4
8796250,2006907023,Donostia/San Sebastián,0.5
8796249,2006907023,Donostia/San Sebastián,0.5
8796237,2006907023,Donostia/San Sebastián,0.5
8495119,2006903034,Donostia/San Sebastián,0.7
8495120,2006903034,Donostia/San Sebastián,0.7
7795002,2006906015,Donostia/San Sebastián,0.4
8495118,2006903034,Donostia/San Sebastián,0.7
7795016,2006906015,Donostia/San Sebastián,0.4
8697588,2006907014,Donostia/San Sebastián,0.6
7695021,2006906015,Donostia/San Sebastián,0.4
7891033,2006906012,Donostia/San Sebastián,0.6
7695002,2006906015,Donostia/San Sebastián,0.4
4878035,2007402003,Bergara,0.9
4878036,2007402003,Bergara,0.9
4775073,2007401001,Bergara,0.5
4775070,2007401001,Bergara,0.5
4575022,2007402003,Bergara,0.9
4775003,2007402003,Bergara,0.9
4775050,2007402003,Bergara,0.9
4573012,2007403003,Bergara,0.3
4573003,2007403003,Bergara,0.3
4872002,2007403002,Bergara,0.4
4570013,2007403003,Bergara,0.3
4469001,2007403003,Bergara,0.3
4775039,2007402003,Bergara,0.9
4873006,2007403001,Bergara,0.5
4773167,2007403003,Bergara,0.3
4774017,2007402003,Bergara,0.9
4774016,2007402003,Bergara,0.9
4774015,2007402003,Bergara,0.9
4774014,2007402003,Bergara,0.9
5177007,2007401001,Bergara,0.5
4774335,2007402003,Bergara,0.9
4274012,2007403003,Bergara,0.3
5176007,2007401001,Bergara,0.5
4773040,2007403003,Bergara,0.3
4274016,2007403003,Bergara,0.3
4675040,2007402003,Bergara,0.9
4376016,2007402003,Bergara,0.9
4773076,2007403003,Bergara,0.3
4873020,2007403001,Bergara,0.5
5177004,2007401001,Bergara,0.5
4374007,2007403003,Bergara,0.3
4672035,2007403003,Bergara,0.3
4672023,2007403003,Bergara,0.3
4774133,2007401002,Bergara,0.7
4774132,2007401002,Bergara,0.7
4774131,2007401002,Bergara,0.7
4675069,2007402003,Bergara,0.9
4774192,2007401002,Bergara,0.7
4774167,2007401002,Bergara,0.7
4774205,2007401002,Bergara,0.7
4774204,2007401002,Bergara,0.7
4774203,2007401002,Bergara,0.7
4774202,2007401002,Bergara,0.7
5293089,2002901002,Deba,0.6
5293088,2002901002,Deba,0.6
5193018,2002901002,Deba,0.6
5294102,2002901001,Deba,0.7
5491060,2002902001,Deba,0.4
5491061,2002902001,Deba,0.4
5492042,2002902001,Deba,0.4
5488002,2002902001,Deba,0.4
5394006,2002901001,Deba,0.7
5892003,2002902001,Deba,0.4
5393001,2002902001,Deba,0.4
4765047,2005901005,Oñati,0.4
4765056,2005901005,Oñati,0.4
4765058,2005901005,Oñati,0.4
4765059,2005901005,Oñati,0.4
4662010,2005902001,Oñati,0.9
4661001,2005902001,Oñati,0.9
4765083,2005901005,Oñati,0.4
4666012,2005902001,Oñati,0.9
4567028,2005902001,Oñati,0.9
4960001,2005902001,Oñati,0.9
4459002,2005902001,Oñati,0.9
4458001,2005902001,Oñati,0.9
4658001,2005902001,Oñati,0.9
5059006,2005902001,Oñati,0.9
5063013,2005902001,Oñati,0.9
4765188,2005901005,Oñati,0.4
4568011,2005902001,Oñati,0.9
4568004,2005902001,Oñati,0.9
4966002,2005902001,Oñati,0.9
4462004,2005902001,Oñati,0.9
4560002,2005902001,Oñati,0.9
4961001,2005902001,Oñati,0.9
4858001,2005902001,Oñati,0.9
5060001,2005902001,Oñati,0.9
5059005,2005902001,Oñati,0.9
4665028,2005902001,Oñati,0.9
5580047,2001701001,Azkoitia,0.6
